FileName;No of Rows;Actor/Film/Loc;Template-1;Template-2;
Location-12-4.csv;27;3;location which is a vacation choice for an actor who has played the character <e1> and also which was also a featured location in a film with was directed by <e2> ;name the location which is a vacation choice for an actor who has played the character <e1> and this location is also featured in a film that was directed by <e2>;
Location-12-8.csv;27;3;location which is a vacation choice for an actor who has played the character <e1>and also which was also a featured location in a film with was written by <e2> ;name the location which is a vacation choice for an actor who has played the character <e1> and this location is also featured in a film that was wriiten by <e2>;
Location-12-7.csv;52;3;location which is a vacation choice for an actor who has played the character <e1> and also which was also a featured location in a film with was produced by <e2> ;name the location which is a vacation choice for an actor who has played the character <e1> and this location is also featured in a film that was produced by <e2>;
Location-12-2.csv;55;3;location which is a vacation choice for an actor who has played the character <e1> and also which was also a featured location in a film with was distributed by <e2> ;name the location which is a vacation choice for an actor who has played the character <e1> and this location is also featured in a film that was distributed by <e2>;
Location-12-5.csv;55;3;;;
Location-3-12.csv;186;3;location which is the featured location in the film with the genre <e1> and this location is also the vacation choice for an actor who played the character <e2>;name the location which is the featured location in a film with genre <e1> and this location is also a vacation choice for an actor who has played the character <e2>;
Location-1-11.csv;235;3;location which is a featured location in a film with the character named <e1> and also is the location where the sports team of the player named <e2> belongs to;name the location which is a featured location in a film with the character <e1> and also this is the location of a sports team for which the player named <e2> plays;
Location-12-9.csv;288;3;location which is a vacation choice for an actor who has played the character <e1> and also which was also a featured location in a film where actor named <e2> acted in;name the location which is a vacation choice for an actor who has played the character <e1> and this location is also featured in a film that has an actor <e2>;
Location-11-6.csv;589;3;location where the sports team of the player named <e1> belongs to  and which was also a featured location in a film with the character named <e2> ;name the location of a sports team for which the player named <e2> plays  and this location was also a featured location in a film with the character named <e2> ;
Location-1-13.csv;1705;3;location which is a featured location in a film with the character named <e1> and also this location is the vacation choice for an actor who acted in the film named <e2>;name the location which is a featured location in a film with the character <e1> and also this location is the vacation choice for an actor who has acted in the film <e2>;
Location-4-11.csv;3087;3;location which is a featured location in a film directed by <e1> and also is the location where the sports team of the player named <e2> belongs to;name the location which is a featured location in a film directed by <e1> and also this is the location of a sports team for which the player named <e2> plays;
Location-8-11.csv;3163;3;location which is a featured location in a film that was written by <e1> and also is the location where the sports team of the player named <e2> belongs to;name the location which is a featured location in a film written by <e1> and also this is the location of a sports team for which the player named <e2> plays;
Location-10-1.csv;4752;3;location where the education institution for the person <e1> is located and which was also a featured location in a film with the character named <e2> ;name the location where the education institution for the person <e1> is located, and this location was also a featured location in a film with the character <e2> ;
Location-13-11.csv;4806;3;location which is the vacation choice for an actor who acted in the film named <e1> and also is the location where the sports team of the player named <e2> belongs to;name the location which is the vacation choice for an actor who has acted in the film <e1> and also this is the location of a sports team for which the player named <e2> plays;
Location-7-11.csv;4951;3;location which is a featured location in a film that was produced by <e1> and also is the location where the sports team of the player named <e2> belongs to;name the location which is a featured location in a film produced by <e1> and also this is the location of a sports team for which the player named <e2> plays;
Location-13-6.csv;5924;3;location which is the vacation choice for an actor who acted in the film named <e1> and this location was a featured location in a film that was edited by <e2> ;name the location which is the vacation choice for an actor who has acted in the film <e1> and also this location was also a featured location in a film which was edited by <e2> ;
Location-11-5.csv;8349;3;;;
Location-2-11.csv;8349;3;location which is a featured location in a film that was distributed by <e1> and also is the location where the sports team of the player named <e2> belongs to;name the location which is a featured location in a film distributed by <e1> and also this is the location of a sports team for which the player named <e2> plays;
Location-10-11.csv;11888;3;location where the education institution for the person <e1> is located and also is the location where the sports team of the player named <e2> belongs to;name the location where the education institution for the person <e1> is located, and also this is the location of a sports team for which the player named <e2> plays;
Location-10-6.csv;16234;3;location where the education institution for the person <e1> is located and this location was a featured location in a film that was edited by <e2> ;name the location where the education institution for the person <e1> is located, and also this location was also a featured location in a film which was edited by <e2> ;
Location-3-11.csv;24938;3;location which is a featured location in a film with a genre <e1> and also is the location where the sports team of the player named <e2> belongs to;name the location which is a featured location in a film with a genre <e1> and also this is the location of a sports team for which the player named <e2> plays;
Location-8-13.csv;28960;3;location which is a featured location in a film that was written by <e1> and this location is also the vacation choice for an actor who acted in the film named <e2> ;name the location which is a featured location in a film written by <e1>, and also this location is the vacation choice for an actor who has acted in the film <e2> ;
Location-4-13.csv;29110;3;location which is a featured location in a film that was directed by <e1> and this location is also the vacation choice for an actor who acted in the film named <e2> ;name the location which is a featured location in a film directed by <e1>, and also this location is the vacation choice for an actor who has acted in the film <e2> ;
Location-9-11.csv;34927;3;location which is a featured location in a film with an actor <e1> and also is the location where the sports team of the player named <e2> belongs to;name the location which is a featured location in a film where actor <e1> acted in and also this is the location of a sports team for which the player named <e2> plays;
Location-7-13.csv;43825;3;location which is a featured location in a film that was produced by <e1> and this location is also the vacation choice for an actor who acted in the film named <e2> ;name the location which is a featured location in a film produced by <e1>, and also this location is the vacation choice for an actor who has acted in the film <e2> ;
Location-13-5.csv;70189;3;;;
Location-2-13.csv;70189;3;location which is a featured location in a film that was distributed by <e1> and this location is also the vacation choice for an actor who acted in the film named <e2> ;name the location which is a featured location in a film with <e1> as distributor, and also this location is the vacation choice for an actor who has acted in the film <e2> ;
Location-10-8.csv;78797;3;location where the education institution for the person <e1> is located and this location was a featured location in a film that was written by <e2> ;name the location where the education institution for the person <e1> is located, and also this location was also a featured location in a film which was written by <e2> ;
Location-10-13.csv;79006;3;location where the education institution for the person <e1> is located and this location is the vacation choice for an actor who acted in the film named <e2> ;name the location where the education institution for the person <e1> is located, and also this location is the vacation choice for an actor who has acted in the film <e2> ;
Location-10-4.csv;80550;3;location where the education institution for the person <e1> is located and this location was a featured location in a film that was directed by <e2> ;name the location where the education institution for the person <e1> is located, and also this location was also a featured location in a film which was directed by <e2> ;
Location-10-7.csv;120469;3;location where the education institution for the person <e1> is located and this location was a featured location in a film that was produced by <e2> ;name the location where the education institution for the person <e1> is located, and also this location was also a featured location in a film which was produced by <e2> ;
Location-10-5.csv;205134;3;;;
Location-2-10.csv;205134;3;location which was also a featured location in a film distributed by <e1> and where the education institution for the person <e2> is located ;name the location which is featured in a film with distributor named <e1>,  and also this is the location where the education institution for the person <e2> is located;
Location-3-13.csv;213646;3;location which was a featured location in a film with genre <e1> and this location is the vacation choice for an actor who acted in the film named <e2> ;name the location which is featured in a film with genre <e1>, and also this location is the vacation choice for an actor who has acted in the film <e2> ;
Location-9-13.csv;305223;3;location which was a featured location in a film where actor named <e1> acted in and this location is the vacation choice for an actor who acted in the film named <e2> ;name the location which is featured in a film that has an actor <e1>, and also this location is the vacation choice for an actor who has acted in the film <e2> ;
Location-3-10.csv;631798;3;location which was a featured location in a film with genre <e1> and where the education institution for the person <e2> is located ;name the location which is featured in a film with genre <e1>,  and this is also the location where the education institution for the person <e2> is located;
Location-9-10.csv;905356;3;location which was a featured location in a film where actor named <e1> acted in and where the education institution for the person <e2> is located ;name the location which is featured in a film that has an actor <e1> and this is also the location where the education institution for the person <e2> is located;place that featured in a film where actor named <e1> acted and where <e2>'s school is located 
